FACE_ID,Date,Start_Time,Batch_Number,Fines_kg,Fines_Moisture_,Coarse_kg,Coarse_Moisture_,Cement_kg,Water_kg,Cement:Water_Ratio,Cubic_M,Superplasticiser_kg,Accelerator_,Fibre_kg,Additive_1_kg,Add_1_Fines_kg,Add_1_Coarse_kg,Add_1_Cement_kg,Add_1_Water_kg,Add_1_Superplasticiser_kg,Add_2_Fines_kg,Add_2_Coarse_kg,Add_2_Cement_kg,Add_2_Water_kg,Add_2_Superplasticiser_kg
RUP_1025_452_SMP_01,2022-11-16,20:05:00,1.0,4000.0,,2000.0,,1800.0,510.0,0.2833333333333333,3.3455795148247978,12.0,3.5,8.0,,,,,,,,,,,
RUP_1075_662_DEC_20,2022-11-17,12:20:00,1.0,4500.0,,2250.0,,2100.0,650.0,0.30952380952380953,3.8638364779874212,18.0,4.0,13.0,,,,,,,,,,,
RUP_1075_775_MBAY_05,2022-11-18,07:30:00,1.0,4000.0,,2000.0,,1800.0,400.0,0.2222222222222222,3.2355795148247983,16.0,4.5,8.0,,,,,50.0,,,,,,
RUP_1075_775_MBAY_05,2022-11-18,10:30:00,2.0,4000.0,,2000.0,,1800.0,550.0,0.3055555555555556,3.385579514824798,18.0,4.5,8.0,,,,,20.0,2.0,,,,,
RUP_1075_775_MBAY_05,2022-11-18,13:00:00,3.0,4000.0,,2000.0,,1800.0,560.0,0.3111111111111111,3.3955795148247976,16.0,4.5,8.0,,,,,40.0,4.0,,,,,
RUP_1025_451_SMP_03,2022-11-19,12:30:00,1.0,4000.0,,2000.0,,1800.0,440.0,0.24444444444444444,3.2755795148247975,16.0,3.5,8.0,,,,40.0,,2.0,,,,,
RUP_1075_662_DEC_21,2022-11-20,11:30:00,1.0,3000.0,,1500.0,,1350.0,380.0,0.2814814814814815,2.506684636118598,12.0,3.5,6.0,,,,,20.0,,,,,,
RUP_1075_662_DEC_21,2022-11-20,12:05:00,2.0,2000.0,,1000.0,,900.0,230.0,0.25555555555555554,1.647789757412399,8.0,3.5,4.0,,,,,20.0,,,,,,
RUP_1025_983_DEC_72,2022-11-20,21:30:00,1.0,3000.0,,1500.0,,1390.0,300.0,0.2158273381294964,2.439383048817011,12.0,4.0,6.0,,,,,40.0,,,,,,
RUP_1075_662_DEC_22,2022-11-22,01:30:00,1.0,3000.0,,1500.0,,1350.0,300.0,0.2222222222222222,2.426684636118598,9.0,4.0,6.0,,,,,,,,,,,
RUP_1075_662_DEC_22,2022-11-22,13:40:00,2.0,3000.0,,1500.0,,1350.0,370.0,0.2740740740740741,2.4966846361185984,9.0,4.5,6.0,,,,,,,,,,,
RUP_1075_662_DEC_22,2022-11-22,14:45:00,3.0,3000.0,,1500.0,,1350.0,250.0,0.18518518518518517,2.3766846361185983,5.0,4.5,3.0,,,,,,,,,,,
RUP_1075_662_DEC_22,2022-11-23,02:00:00,4.0,3000.0,,1500.0,,1350.0,320.0,0.23703703703703705,2.446684636118598,12.0,4.5,6.0,,,,,20.0,,,,,,
RUP_1025_983_DEC_73,2022-11-24,19:50:00,1.0,5000.0,,2700.0,,2250.0,750.0,0.3333333333333333,4.369946091644205,20.0,3.5,10.0,,,,,5.0,2.0,,,,5.0,
RUP_1075_662_DEC_22,2022-11-24,18:30:00,2.0,5000.0,,2500.0,,2250.0,600.0,0.26666666666666666,4.144474393530998,16.0,3.5,10.0,,,,,50.0,,,,,50.0,
RUP_1075_662_DEC_22,2022-11-25,07:45:00,3.0,3000.0,,1500.0,,1350.0,300.0,0.2222222222222222,2.426684636118598,9.0,3.5,6.0,,,,,,,,,,,
RUP_1075_662_DEC_22,2022-11-26,03:45:00,4.0,4000.0,,2000.0,,1800.0,450.0,0.25,3.285579514824798,16.0,4.0,8.0,,,,,10.0,,,,,,
RUP_1075_662_DEC_23,2022-11-27,09:30:00,1.0,4000.0,,2000.0,,1800.0,350.0,0.19444444444444445,3.1855795148247976,16.0,4.0,8.0,,,,,50.0,,,,,10.0,
RUP_1000_818_DEC_02,2022-11-28,02:30:00,1.0,4000.0,,2000.0,,1800.0,450.0,0.25,3.285579514824798,16.0,5.5,8.0,,,,40.0,,,,,,,
RUP_1075_662_DEC_24,2022-11-28,18:00:00,1.0,4000.0,,2000.0,,1800.0,540.0,0.3,3.375579514824798,12.0,4.0,6.0,,,,100.0,,,,,,,
RUP_1075_662_DEC_24,2022-11-28,19:38:00,2.0,4000.0,,2000.0,,1800.0,550.0,0.3055555555555556,3.385579514824798,12.0,4.0,6.0,,,,,,,,,,,
RUP_1075_662_DEC_24,2022-11-28,02:00:00,3.0,4000.0,,2000.0,,1800.0,550.0,0.3055555555555556,3.385579514824798,16.0,,8.0,,,,,,,,,,,
RUP_1075_662_DEC_25,2022-12-01,01:30:00,1.0,4000.0,,2000.0,,1800.0,550.0,0.3055555555555556,3.385579514824798,16.0,,8.0,,,,,,,,,,,
RUP_1075_662_DEC_25,2022-12-01,18:15:00,2.0,4000.0,,2000.0,,1800.0,420.0,0.23333333333333334,3.255579514824798,16.0,6.0,8.0,,,,,,,,,,,
RUP_1075_662_DEC_25,2022-12-01,20:55:00,3.0,4000.0,,2000.0,,1800.0,420.0,0.23333333333333334,3.255579514824798,16.0,5.0,8.0,,,,,20.0,,,,,,
RUP_1000_818_DEC_05,2022-12-02,17:30:00,1.0,2000.0,,1000.0,,900.0,200.0,0.2222222222222222,1.6177897574123992,8.0,6.0,6.0,,,,,,,,,,,
RUP_1075_662_DEC_26,2022-12-03,02:30:00,1.0,4000.0,,2000.0,,1800.0,420.0,0.23333333333333334,3.255579514824798,16.0,5.0,8.0,,,,,,,,,,,
